Condition,pair_id,strategy,CQS,CQS_extended,Delta_vs_full,api_success,model,phase_note
No Forecasting/LSTM,G06F16-H04W12,Consensus-Driven,7.31,7.6145,0.1793,True,phi3,collab+conv
No Forecasting/LSTM,G06F16-H04W12,Exploratory-Brainstorming,7.33,7.6841,0.1993,True,phi3,collab+conv
No Forecasting/LSTM,B60R21-B60R23,Consensus-Driven,7.1962,7.5361,0.0655,True,phi3,collab+conv
No Forecasting/LSTM,B60R21-B60R23,Exploratory-Brainstorming,7.0454,7.4462,-0.0853,True,phi3,collab+conv
No Forecasting/LSTM,G08G5-H04L20,Consensus-Driven,7.0646,7.4267,-0.066,True,phi3,collab+conv
No Forecasting/LSTM,G08G5-H04L20,Exploratory-Brainstorming,7.2358,7.5647,0.1052,True,phi3,collab+conv
No Forecasting/LSTM,B60R23-G01S7,Consensus-Driven,7.0682,7.4805,-0.0625,True,phi3,collab+conv
No Forecasting/LSTM,B60R23-G01S7,Exploratory-Brainstorming,8.5,8.5107,1.3693,True,phi3,collab+conv
No Forecasting/LSTM,B61L25-G06Q50,Consensus-Driven,6.8694,7.1852,-0.2613,True,phi3,collab+conv
No Forecasting/LSTM,B61L25-G06Q50,Exploratory-Brainstorming,7.2156,7.6465,0.085,True,phi3,collab+conv
No Forecasting/LSTM,G07C5-H04M1,Consensus-Driven,7.0778,7.4828,-0.0529,True,phi3,collab+conv
No Forecasting/LSTM,G07C5-H04M1,Exploratory-Brainstorming,7.0188,7.4572,-0.1119,True,phi3,collab+conv
